Name,Code,"Barcode Symbology","Unit Code","Sale Unit Code"," Purchase Unit Code",Cost,Price,"Alert Quantity","Tax Rate Name","Tax Method",Quantity,Discount,"Min Selling Price","Landing Price"
"TP T470 8G 500 W10P",48354,code128,pc,pc,pc,1255.2300,1499.9900,1.0000,HST,1,1.0000,0,,
"OES FEES",44515,code128,pc,pc,pc,1.0000,0.7500,1.0000,HST,1,1.0000,0,,
